,Rel. Cm-1,Intensity (A.U.)
0,0.0,0.0128854047779128
1,2.81256,0.0093185022439473
2,5.62429,0.0084452209547591
3,8.43517,0.0070938176816753
4,11.2452,0.005995224011387
5,14.0544,0.008401418251457
6,16.8628,0.0076479579723519
7,19.6703,0.0058867857283502
8,22.477,0.0093023436478042
9,25.2828,0.0085836805230413
10,28.0878,0.0080025746189209
11,30.892,0.0086765685476153
12,33.6953,0.0089030876842275
13,36.4978,0.0049880821389726
14,39.2995,0.0080224250718307
15,42.1003,0.0055803209811901
16,44.9003,0.0075913753971151
17,47.6994,0.0070658887673076
18,50.4977,0.0043613031023369
19,53.2952,0.0049442435807974
20,56.0918,0.0057028131793191
21,58.8876,0.0078522889183284
22,61.6826,0.010276592259638
23,64.4767,0.0085390651092823
24,67.2701,0.0114911163277296
25,70.0625,0.0245161877879856
26,72.8542,0.0483394801533417
27,75.645,0.0950991348398396
28,78.4349,0.156095803503822
29,81.2241,0.206534048653987
30,84.0124,0.258160285266151
31,86.7999,0.348487076738452
32,89.5865,0.442069490688101
33,92.3724,0.483061171939235
34,95.1574,0.489230600437059
35,97.9415,0.508409372057473
36,100.725,0.530938183987728
37,103.507,0.510401707839315
38,106.289,0.435168622779067
39,109.07,0.345886403276371
40,111.85,0.271960825921782
41,114.629,0.221599071167561
42,117.407,0.193837838089791
43,120.185,0.181527664992623
44,122.962,0.187900271104671
45,125.738,0.233167048391589
46,128.513,0.301310429877818
47,131.287,0.339191103306435
48,134.06,0.308487380309711
49,136.833,0.232214503929604
50,139.605,0.162565217773237
51,142.376,0.133673361030426
52,145.146,0.119347785516388
53,147.915,0.110979736200161
54,150.684,0.11288315189672
55,153.451,0.124081823927833
56,156.218,0.147686640599776
57,158.984,0.167605217768456
58,161.749,0.197844022577336
59,164.514,0.227449391294807
60,167.277,0.297771553902991
61,170.04,0.420238653620831
62,172.802,0.568759099294514
63,175.563,0.649745696324643
64,178.323,0.57536595724414
65,181.083,0.413756092564614
66,183.841,0.273631663008175
67,186.599,0.182115684911439
68,189.356,0.134419142390876
69,192.112,0.110446813269673
70,194.868,0.101902716526533
71,197.622,0.102910716525577
72,200.376,0.101667986623981
73,203.129,0.0900643935593413
74,205.881,0.0752850148681195
75,208.632,0.0625107601968122
76,211.383,0.0549555408537296
77,214.133,0.0469703020659518
78,216.881,0.0451379985343723
79,219.629,0.0474741825492301
80,222.377,0.0446418866069321
81,225.123,0.0428588237677412
82,227.869,0.0480339966345421
83,230.613,0.039809247294466
84,233.357,0.037789781325312
85,236.101,0.0318214986655713
86,238.843,0.0369823295831327
87,241.585,0.0288453051659044
88,244.325,0.0283638937364345
89,247.065,0.0272670931683499
90,249.804,0.0300530168081072
91,252.543,0.0294677457628952
92,255.28,0.0262671007576314
93,258.017,0.0290936599202337
94,260.753,0.0255203632672323
95,263.488,0.0286177462379723
96,266.222,0.0379437182471485
97,268.956,0.0424715911382769
98,271.688,0.045780278827811
99,274.42,0.0498232743184033
100,277.151,0.0624043907399532
101,279.881,0.0750253060706423
102,282.611,0.0836754137219109
103,285.34,0.0863967985900908
104,288.067,0.0741235560122138
105,290.794,0.0609288431957042
106,293.521,0.0492853317056814
107,296.246,0.040328067308202
108,298.971,0.0324377244178917
109,301.694,0.0271272591632656
110,304.417,0.0252544396250847
111,307.14,0.0224658866279669
112,309.861,0.0199285567750263
113,312.582,0.0199580772872107
114,315.302,0.0173880358383799
115,318.021,0.0207593141847196
116,320.739,0.017891031901455
117,323.456,0.0216948873401044
118,326.173,0.0171220285348617
119,328.889,0.0223170889046079
120,331.604,0.016408659979693
121,334.318,0.01274007302562
122,337.031,0.0133684774831696
123,339.744,0.0141490141672763
124,342.456,0.0146848771973584
125,345.167,0.0156165182683268
126,347.877,0.018278874063762
127,350.586,0.0173803748471611
128,353.295,0.009899554365758
129,356.003,0.0128972488376597
130,358.71,0.015874924338748
131,361.416,0.0159351485739292
132,364.122,0.0120420503561375
133,366.826,0.0141514403470226
134,369.53,0.0111009914051686
135,372.233,0.0111395114905008
136,374.936,0.0120873709157341
137,377.637,0.0126359026676444
138,380.338,0.0104420385957391
139,383.038,0.0095149391420299
140,385.737,0.009637240114169
141,388.435,0.0126588617380518
142,391.133,0.014890158297472
143,393.829,0.011226304186648
144,396.525,0.0088817420831095
145,399.221,0.0127585024303927
146,401.915,0.009216985146581
147,404.609,0.0099009766090576
148,407.301,0.0102994198621775
149,409.993,0.0089957127730654
150,412.685,0.0115950715564666
151,415.375,0.0175285271828043
152,418.065,0.032955707817922
153,420.753,0.02990003601622
154,423.442,0.0324747744534268
155,426.129,0.0300385553426241
156,428.815,0.0224030210838008
157,431.501,0.0145141482432875
158,434.186,0.014502447603033
159,436.87,0.0109444968357178
160,439.554,0.0064094852393554
161,442.236,0.0085874691879654
162,444.918,0.012351740846714
163,447.599,0.0105637300350356
164,450.279,0.007919735520114
165,452.959,0.0091744612670861
166,455.637,0.0097818308657511
167,458.315,0.0098104430544838
168,460.992,0.0095783305576681
169,463.669,0.0082874595131254
170,466.344,0.0072348285632109
171,469.019,0.0058324763520678
172,471.693,0.0090116323367212
173,474.366,0.0102858428168975
174,477.038,0.0112059625219768
175,479.71,0.008857050027169
176,482.381,0.0101500723640976
177,485.051,0.0104835465871629
178,487.72,0.0095627814943677
179,490.389,0.0082441587780468
180,493.057,0.0098715756131168
181,495.724,0.0077922702510863
182,498.39,0.0098655519944362
183,501.055,0.0127227192670403
184,503.72,0.0096307742853869
185,506.384,0.0078392054751347
186,509.047,0.0084815897477053
187,511.709,0.0112165277579165
188,514.371,0.0054390169263087
189,517.031,0.0042167721088766
190,519.691,0.005122107654615
191,522.351,0.0038842540157607
192,525.009,0.0085922498377118
193,527.667,0.0125245374318003
194,530.324,0.0054918909125047
195,532.98,0.0060661329987515
196,535.635,0.0059448789889069
197,538.29,0.0078402906826271
198,540.943,0.008936623942199
199,543.596,0.0071140265637998
200,546.249,0.0095957201711209
201,548.9,0.0101024212377497
202,551.551,0.0238158226001273
203,554.201,0.0358387981637763
204,556.85,0.0126637738556663
205,559.498,0.009726112392956
206,562.146,0.0078217967390829
207,564.793,0.0061702914051028
208,567.439,0.0099566592269796
209,570.084,0.0080856850196009
210,572.729,0.0084338191051137
211,575.373,0.009901347109413
212,578.016,0.0080662504832191
213,580.658,0.0109599861408964
214,583.3,0.0064923422655989
215,585.94,0.0053587856719385
216,588.58,0.0065759892942129
217,591.22,0.0083990637814569
218,593.858,0.0072696651579135
219,596.496,0.0055206345691054
220,599.133,0.0102920098550704
221,601.769,0.0115594198609823
222,604.404,0.0061526089768531
223,607.039,0.0090504870675357
224,609.673,0.0099689933033256
225,612.306,0.0096959703963045
226,614.938,0.0098114350393062
227,617.57,0.0103212196250214
228,620.2,0.0086721942530972
229,622.83,0.005466900065955
230,625.46,0.0076936370806795
231,628.088,0.0056548513107376
232,630.716,0.0090977198870308
233,633.343,0.0089957725311873
234,635.969,0.0156972753941691
235,638.595,0.025619083684497
236,641.219,0.0354143959825332
237,643.843,0.0383267678080846
238,646.467,0.0265247777789663
239,649.089,0.0128469444507024
240,651.711,0.0136349269967893
241,654.332,0.0115915338756542
242,656.952,0.0077350984607682
243,659.571,0.0110585153321712
244,662.19,0.0083612966484597
245,664.808,0.0088975182272729
246,667.425,0.0137234287752208
247,670.042,0.0162139799703922
248,672.657,0.0220124419995139
249,675.272,0.0395469091396283
250,677.886,0.0891449550968509
251,680.5,0.235801186401896
252,683.112,0.465064415968637
253,685.724,0.583546844122792
254,688.335,0.421406327321407
255,690.946,0.230352440853353
256,693.555,0.121460235123111
257,696.164,0.0664028066716597
258,698.772,0.0346172226373088
259,701.38,0.0179701516547592
260,703.986,0.0129497284202516
261,706.592,0.0128376102320725
262,709.197,0.0113224071981765
263,711.802,0.0091948865931279
264,714.405,0.0084318948935908
265,717.008,0.0070624085738084
266,719.61,0.0069567973279992
267,722.211,0.008002714452926
268,724.812,0.0061880825931343
269,727.412,0.0086281525173078
270,730.011,0.0076707760135918
271,732.609,0.007949558408395
272,735.207,0.0075678749181239
273,737.804,0.0116393045182459
274,740.4,0.0124343982808305
275,742.995,0.010338310447865
276,745.59,0.014486910491357
277,748.184,0.0254958624372816
278,750.777,0.0291376418979012
279,753.37,0.0309503447655202
280,755.961,0.0221176162939363
281,758.552,0.0158895411753478
282,761.142,0.0095670721275152
283,763.732,0.0095637017694439
284,766.32,0.0114121758487909
285,768.908,0.0124455610979886
286,771.496,0.0082768106158152
287,774.082,0.0062137534871105
288,776.668,0.0097053285181832
289,779.253,0.0103101165659852
290,781.837,0.0084337115404944
291,784.42,0.0049135398578007
292,787.003,0.0044765526161
293,789.585,0.0051240079628892
294,792.166,0.0055085036703737
295,794.747,0.0077521080125661
296,797.327,0.0108714963140892
297,799.906,0.0066834738376253
298,802.484,0.0039300167854588
299,805.062,0.0071586238110897
300,807.639,0.007620048539132
301,810.215,0.0127577972845551
302,812.79,0.0116152339467724
303,815.365,0.006052518903436
304,817.938,0.0125323059876383
305,820.512,0.0111123573999409
306,823.084,0.0145657075508032
307,825.656,0.0151745471992653
308,828.227,0.0244032449377252
309,830.797,0.050556028408294
310,833.366,0.0896383181506869
311,835.935,0.118555273304667
312,838.503,0.097665865688721
313,841.07,0.0557069394776315
314,843.637,0.030896681972116
315,846.203,0.0177366408178927
316,848.768,0.0101997433149635
317,851.332,0.0096078152149795
318,853.896,0.01161933335393
319,856.458,0.0147191783592894
320,859.021,0.0085231096907535
321,861.582,0.0088211832024461
322,864.143,0.0094625551724329
323,866.703,0.0064249016396254
324,869.262,0.0069883399355102
325,871.82,0.0092358209065821
326,874.378,0.0057384409715547
327,876.935,0.008328178697341
328,879.491,0.0050592540620732
329,882.047,0.007356537929944
330,884.602,0.0068662512242198
331,887.156,0.0064946023177665
332,889.709,0.0068703924620627
333,892.262,0.0052887491531527
334,894.814,0.0062782121828046
335,897.365,0.0103625483420796
336,899.915,0.010222248223645
337,902.465,0.0116682633040851
338,905.014,0.0099021598198699
339,907.563,0.0088616035960525
340,910.11,0.009133072791906
341,912.657,0.0098456047333691
342,915.203,0.0080521176874061
343,917.748,0.0127017561179021
344,920.293,0.0111119510447124
345,922.837,0.0087172757802065
346,925.38,0.0136512768189222
347,927.923,0.0133160337554508
348,930.464,0.0083418155007428
349,933.006,0.0079753607702391
350,935.546,0.0108044237981461
351,938.085,0.0125528508299238
352,940.624,0.0139223874660447
353,943.162,0.0171247893600903
354,945.7,0.0277900962506141
355,948.237,0.0586533734326266
356,950.773,0.112025622848446
357,953.308,0.129003861390558
358,955.842,0.0959812842343075
359,958.376,0.0512586644047819
360,960.909,0.0315017927137759
361,963.442,0.0203371828121061
362,965.973,0.0131164177252868
363,968.504,0.0136634794274001
364,971.035,0.0114740135532615
365,973.564,0.0131380262621408
366,976.093,0.0162395086400384
367,978.621,0.013758064582634
368,981.148,0.0143130980181996
369,983.675,0.0191812217034088
370,986.201,0.0197895593836476
371,988.726,0.0184652955006258
372,991.251,0.019720837543542
373,993.774,0.0243965520280801
374,996.297,0.0260468323205626
375,998.82,0.019696814778566
376,1001.34,0.0167960479802741
377,1003.86,0.0195406070481
378,1006.38,0.0214318320878048
379,1008.9,0.0280343874526589
380,1011.42,0.0338291325266027
381,1013.94,0.0569346103325259
382,1016.46,0.0821209854568452
383,1018.97,0.117038851205085
384,1021.49,0.153817823899627
385,1024.0,0.157062689915046
386,1026.52,0.12946280376622
387,1029.03,0.110706761099638
388,1031.55,0.0893525548120915
389,1034.06,0.0791435967947417
390,1036.57,0.0678452482164143
391,1039.08,0.0581958652518891
392,1041.59,0.0502800654016789
393,1044.1,0.0378085453755669
394,1046.61,0.0280538686003758
395,1049.12,0.0246095299742855
396,1051.62,0.0195273407450535
397,1054.13,0.0146321824855279
398,1056.64,0.0135949129584113
399,1059.14,0.015026586089612
400,1061.65,0.0115478745918446
401,1064.15,0.0086254394985767
402,1066.65,0.0104260114674641
403,1069.16,0.0107957588704807
404,1071.66,0.0110929838168433
405,1074.16,0.0111878319078133
406,1076.66,0.0133416460864675
407,1079.16,0.0150990487881441
408,1081.66,0.0135494489793223
409,1084.16,0.0091159461141892
410,1086.65,0.0105521608626491
411,1089.15,0.0099302222338817
412,1091.65,0.0065075399511429
413,1094.14,0.0135983789294775
414,1096.64,0.0102100814700402
415,1099.13,0.0090266555285495
416,1101.62,0.0137173214951697
417,1104.12,0.0089661564060079
418,1106.61,0.0143214641552559
419,1109.1,0.0171824081411597
420,1111.59,0.0126338230850047
421,1114.08,0.0115156052060559
422,1116.57,0.0136424804233887
423,1119.06,0.011963408667808
424,1121.55,0.0126307276142938
425,1124.03,0.0207740146826901
426,1126.52,0.020066478520212
427,1129.0,0.0290246990476408
428,1131.49,0.0347663789093987
429,1133.97,0.0428442427860145
430,1136.46,0.0711828588369145
431,1138.94,0.137914992517984
432,1141.42,0.284180166673768
433,1143.9,0.531190363261854
434,1146.38,0.709402229348445
435,1148.86,0.600540858809067
436,1151.34,0.325732379107676
437,1153.82,0.13473944592389
438,1156.3,0.0584656134138339
439,1158.78,0.0334005472768314
440,1161.25,0.0277164742445184
441,1163.73,0.0309397078198343
442,1166.2,0.0324184823026621
443,1168.68,0.0393452852365708
444,1171.15,0.0730965529304277
445,1173.63,0.116216101383717
446,1176.1,0.184245464373493
447,1178.57,0.260078520976923
448,1181.04,0.307498980974628
449,1183.51,0.33594504212858
450,1185.98,0.365381892942488
451,1188.45,0.329366868077432
452,1190.92,0.227143429711033
453,1193.39,0.125388614536032
454,1195.85,0.0639265496192302
455,1198.32,0.039907131098025
456,1200.78,0.0308846108315062
457,1203.25,0.0189460615423798
458,1205.71,0.0141626031641806
459,1208.18,0.0152182542895724
460,1210.64,0.0138364672384762
461,1213.1,0.0138804970226412
462,1215.56,0.0108524334732251
463,1218.02,0.0050236621247107
464,1220.48,0.0096150698509698
465,1222.94,0.0100591563575441
466,1225.4,0.0061137363186021
467,1227.86,0.0042550531617215
468,1230.31,0.0106996319557035
469,1232.77,0.0094735626184742
470,1235.23,0.006809422445521
471,1237.68,0.0071759548615831
472,1240.14,0.0092105073661745
473,1242.59,0.0110660568071463
474,1245.04,0.009616121593914
475,1247.5,0.0104848851690919
476,1249.95,0.0092532344232836
477,1252.4,0.0055374744078373
478,1254.85,0.0022583908918583
479,1257.3,0.0041881838233927
480,1259.75,0.0042626782980671
481,1262.2,0.0067193741268964
482,1264.64,0.0081523571561277
483,1267.09,0.0063892618957654
484,1269.54,0.005531163950172
485,1271.98,0.0077081176687615
486,1274.43,0.0100956088118609
487,1276.87,0.0103928935163454
488,1279.31,0.0150090889115399
489,1281.76,0.0231243016142999
490,1284.2,0.0285291847014188
491,1286.64,0.0270556689333122
492,1289.08,0.0208483537862477
493,1291.52,0.0152614713632806
494,1293.96,0.0096502793363525
495,1296.4,0.0157985534590481
496,1298.84,0.0127253366727765
497,1301.27,0.0144845560213568
498,1303.71,0.0263152658038271
499,1306.15,0.0330430741920388
500,1308.58,0.0490325548503367
501,1311.02,0.0681710494966364
502,1313.45,0.0600699994687503
503,1315.88,0.0477865980101621
504,1318.32,0.0290070106435788
505,1320.75,0.0192879497089989
506,1323.18,0.0112498847415225
507,1325.61,0.0166330756304168
508,1328.04,0.0144477330666846
509,1330.47,0.0096075403276191
510,1332.9,0.0115022432900145
511,1335.33,0.0133448491217976
512,1337.75,0.0114471582533107
513,1340.18,0.0137545627566947
514,1342.61,0.0146049088787243
515,1345.03,0.0119221277572472
516,1347.46,0.0088764953200128
517,1349.88,0.0095136603182227
518,1352.3,0.0150445135261612
519,1354.73,0.0183056815572154
520,1357.15,0.0172240117455784
521,1359.57,0.0184581006227573
522,1361.99,0.0306608764233712
523,1364.41,0.0376411031181967
524,1366.83,0.0355690500018316
525,1369.25,0.0336359942768452
526,1371.66,0.0315647777741857
527,1374.08,0.0345739577571032
528,1376.5,0.0417227023554919
529,1378.91,0.0660405529371207
530,1381.33,0.125150060113683
531,1383.74,0.186944141155377
532,1386.16,0.185770491642618
533,1388.57,0.101102555275217
534,1390.98,0.0458549764800996
535,1393.39,0.0370676641811073
536,1395.8,0.0259084325104022
537,1398.22,0.024704067323022
538,1400.63,0.0269490604439658
539,1403.03,0.0284298667029359
540,1405.44,0.0315889200554053
541,1407.85,0.0279293326744801
542,1410.26,0.0317632942549079
543,1412.66,0.0343269176814542
544,1415.07,0.0404083822239427
545,1417.47,0.0395020905482551
546,1419.88,0.040517500554406
547,1422.28,0.0441886810109664
548,1424.69,0.0464042731359694
549,1427.09,0.0498281744843935
550,1429.49,0.0548296902491537
551,1431.89,0.0565096105700644
552,1434.29,0.0599479733839716
553,1436.69,0.0705997390840885
554,1439.09,0.0827559752594205
555,1441.49,0.0961411969683271
556,1443.89,0.110022769637161
557,1446.28,0.130678283964261
558,1448.68,0.170118644372664
559,1451.08,0.236525454838487
560,1453.47,0.363962039967786
561,1455.87,0.5876366899809
562,1458.26,0.851652852879627
563,1460.65,0.967209523388941
564,1463.05,0.796925169744439
565,1465.44,0.473687512948838
566,1467.83,0.238611013290386
567,1470.22,0.132137577299372
568,1472.61,0.0747611751721497
569,1475.0,0.0551450936161773
570,1477.39,0.0503405406209718
571,1479.77,0.0481070210594195
572,1482.16,0.0437177870109388
573,1484.55,0.0432650594799478
574,1486.93,0.0447807644820671
575,1489.32,0.0469009826446279
576,1491.7,0.0532584101937317
577,1494.09,0.075032835593993
578,1496.47,0.101686272609261
579,1498.85,0.140628011249108
580,1501.24,0.18125994860682
581,1503.62,0.216224425690088
582,1506.0,0.259685312535276
583,1508.38,0.292467423009279
584,1510.76,0.269259758815025
585,1513.14,0.190913275607386
586,1515.51,0.109362083842199
587,1517.89,0.0543201925024233
588,1520.27,0.0334544491027228
589,1522.64,0.0258391130890784
590,1525.02,0.0230460184747014
591,1527.39,0.0174755814868621
592,1529.77,0.015970130978449
593,1532.14,0.0153142019299842
594,1534.51,0.0168193895026612
595,1536.89,0.0190325434962935
596,1539.26,0.0111517858087249
597,1541.63,0.0086286544855312
598,1544.0,0.0135436046350073
599,1546.37,0.0141011359600653
600,1548.74,0.0157255648890438
601,1551.11,0.0177414334192635
602,1553.47,0.0119159248642012
603,1555.84,0.0083492733143473
604,1558.21,0.0122980541500611
605,1560.57,0.0117405945347493
606,1562.94,0.0055418606539797
607,1565.3,0.0087580786257926
608,1567.66,0.007352812608629
609,1570.03,0.0107405901724064
610,1572.39,0.0096425705386364
611,1574.75,0.0108763606252062
612,1577.11,0.0074507466090104
613,1579.47,0.0101910425324249
614,1581.83,0.0123948742590516
615,1584.19,0.0105505951998572
616,1586.55,0.0098359836757543
617,1588.91,0.0080115467033326
618,1591.27,0.0048482481338883
619,1593.62,0.0058740094419027
620,1595.98,0.0098458079109833
621,1598.33,0.0081632068407273
622,1600.69,0.0077153137417924
623,1603.04,0.0073568630141267
624,1605.4,0.0063452560148491
625,1607.75,0.006769692855803
626,1610.1,0.0044357258672651
627,1612.45,0.0080605232648228
628,1614.8,0.0118637679754671
629,1617.15,0.0076651766775763
630,1619.5,0.0052221547021843
631,1621.85,0.0082214243981774
632,1624.2,0.006685317973265
633,1626.55,0.0088699697331088
634,1628.89,0.0056117776565219
635,1631.24,0.0070489131581229
636,1633.59,0.0092422508804911
637,1635.93,0.0064177928134524
638,1638.28,0.0083659219270894
639,1640.62,0.0042642559124835
640,1642.96,0.0083505521381545
641,1645.3,0.0074243645933845
642,1647.65,0.0049856679108506
643,1649.99,0.0067170232423836
644,1652.33,0.0078214525323012
645,1654.67,0.0085148750215652
646,1657.01,0.0082589429373877
647,1659.35,0.009218718132114
648,1661.68,0.0077074627197463
649,1664.02,0.0081282567055933
650,1666.36,0.0103410354182205
651,1668.69,0.0086209337361907
652,1671.03,0.0070354743333787
653,1673.36,0.0045881927393045
654,1675.7,0.0110641804021208
655,1678.03,0.0100518658666807
656,1680.36,0.0067187837166528
657,1682.7,0.0119646755399908
658,1685.03,0.0106662391172243
659,1687.36,0.0110445319316628
660,1689.69,0.0044611828271651
661,1692.02,0.0066158312292
662,1694.35,0.0091429209303837
663,1696.68,0.0078757212730607
664,1699.0,0.0047735863364727
665,1701.33,0.0069576086042612
666,1703.66,0.0062766871555355
667,1705.98,0.0069150559213516
668,1708.31,0.0069658854626835
669,1710.63,0.0092069935886108
670,1712.96,0.0097021732893505
671,1715.28,0.0055875158590585
672,1717.6,0.0069822254844844
673,1719.93,0.0091243242028699
674,1722.25,0.0106555424134166
675,1724.57,0.0074427127271114
676,1726.89,0.0038144923843353
677,1729.21,0.0041477156232888
678,1731.53,0.0087982002287899
679,1733.85,0.0106214444290999
680,1736.16,0.0114048853579275
681,1738.48,0.0119582216628331
682,1740.8,0.0100988835569373
683,1743.11,0.0068904472877491
684,1745.43,0.0041303140582117
685,1747.74,0.0061690508264936
686,1750.06,0.0109276569969859
687,1752.37,0.0092571426044513
688,1754.68,0.0046443534222012
689,1756.99,0.0058808660888016
690,1759.31,0.0070463835968258
691,1761.62,0.0084953580189752
692,1763.93,0.0080393748655068
693,1766.24,0.0091813573543454
694,1768.55,0.0028787877610824
695,1770.85,0.0075566069266714
696,1773.16,0.0121677336379723
697,1775.47,0.0099164300593631
698,1777.77,0.0109116896268326
699,1780.08,0.011132663209739
700,1782.39,0.0053009159067574
701,1784.69,0.0126248354634813
702,1786.99,0.0070200614588379
703,1789.3,0.0081034738173075
704,1791.6,0.0074584601873763
705,1793.9,0.0032307033405447
706,1796.2,0.0052986929046253
707,1798.5,0.0045600825187952
708,1800.8,0.0062101835369123
709,1803.1,0.0093590182505487
710,1805.4,0.0058803175092432
711,1807.7,0.0089249352535689
712,1810.0,0.0100558457575946
713,1812.3,0.0100229429357145
714,1814.59,0.0111984449502505
715,1816.89,0.0079479413536182
716,1819.18,0.0079294019939014
717,1821.48,0.0139235587252326
718,1823.77,0.014410635224652
719,1826.06,0.0106438656764108
720,1828.36,0.0077543286243734
721,1830.65,0.0065079690144577
722,1832.94,0.008117164403019
723,1835.23,0.0094787615750735
724,1837.52,0.009638805776961
725,1839.81,0.0084554156903434
726,1842.1,0.0087182677650289
727,1844.39,0.0081397099472234
728,1846.68,0.0088629421779815
729,1848.96,0.0039346540157129
730,1851.25,0.0114340353697567
731,1853.54,0.0092289487225715
732,1855.82,0.0093206654879576
733,1858.11,0.0046887417550972
734,1860.39,0.0085686692828374
735,1862.67,0.0101336866870916
736,1864.96,0.0060355177177751
737,1867.24,0.0056011526624603
738,1869.52,0.0042655825427881
739,1871.8,0.0083109803098781
740,1874.08,0.0063591079474895
741,1876.36,0.0109159683083557
742,1878.64,0.0072258636497739
743,1880.92,0.012475081610173
744,1883.2,0.0124798383566708
745,1885.47,0.0112244875397444
746,1887.75,0.0057809409478008
747,1890.03,0.0085603748555272
748,1892.3,0.0097675008681361
749,1894.58,0.0084992183936455
750,1896.85,0.006739691888319
751,1899.13,0.0102196308179088
752,1901.4,0.0103911007726904
753,1903.67,0.0076655483730941
754,1905.94,0.007287842383412
755,1908.21,0.0074416095921824
756,1910.48,0.0057721206490186
757,1912.75,0.0051740016076129
758,1915.02,0.0066406989740187
759,1917.29,0.0072484976359985
760,1919.56,0.0052685509079738
761,1921.83,0.003485978085382
762,1924.1,0.0077627975453992
763,1926.36,0.0098778741191578
764,1928.63,0.010427935678987
765,1930.89,0.0086382635915216
766,1933.16,0.0090490887274848
767,1935.42,0.0117202289668293
768,1937.68,0.00436303608787
769,1939.95,0.0091314951774896
770,1942.21,0.0093192910511555
771,1944.47,0.0094506035480667
772,1946.73,0.0089418707052958
773,1948.99,0.0073174477521295
774,1951.25,0.0100731756129256
775,1953.51,0.0135675437386127
776,1955.77,0.0077032270640709
777,1958.03,0.0097715763720449
778,1960.28,0.0057084184911468
779,1962.54,0.0168755382339336
780,1964.8,0.0089659890832667
781,1967.05,0.00377339074814
782,1969.31,0.0047641923597209
783,1971.56,0.0056299321739341
784,1973.81,0.0076428223593618
785,1976.07,0.0081198582991511
786,1978.32,0.006388477869207
787,1980.57,0.0082465012964225
788,1982.82,0.0106272409669175
789,1985.07,0.0096893013899081
790,1987.32,0.0147921430260449
791,1989.57,0.0119259522770444
792,1991.82,0.0067667145110109
793,1994.07,0.0074378125611213
794,1996.32,0.008017413755734
795,1998.56,0.0073558686389794
796,2000.81,0.0075015290609423
797,2003.06,0.0078431040950029
798,2005.3,0.0067319878712525
799,2007.54,0.0053747769453405
800,2009.79,0.0040515289503898
801,2012.03,0.0066503248122833
802,2014.27,0.0066920144683974
803,2016.52,0.0057668380310487
804,2018.76,0.0111519889863391
805,2021.0,0.0098132994927073
806,2023.24,0.0064018792256088
807,2025.48,0.00792499662516
808,2027.72,0.0133570158754024
809,2029.96,0.0102372116573515
810,2032.2,0.002386488401815
811,2034.43,0.0079175531535048
812,2036.67,0.0068998603870999
813,2038.91,0.0060211769636982
814,2041.14,0.0091695850043447
815,2043.38,0.0082494174927679
816,2045.61,0.0159797161811907
817,2047.84,0.012555372622665
818,2050.08,0.0045810217646848
819,2052.31,0.0033488451474044
820,2054.54,0.0059642908172024
821,2056.77,0.0060474370727555
822,2059.0,0.0072076959855748
823,2061.23,0.0098200043539767
824,2063.46,0.0085242331434439
825,2065.69,0.009869591643472
826,2067.92,0.0075899005666683
827,2070.15,0.008896705516816
828,2072.38,0.0054842777277834
829,2074.6,0.0049288618402382
830,2076.83,0.0088338399726499
831,2079.05,0.0066642293320709
832,2081.28,0.0078301700471139
833,2083.5,0.0093846066783167
834,2085.73,0.0072468877521964
835,2087.95,0.0059178432194281
836,2090.17,0.005900800203082
837,2092.39,0.0089070914783902
838,2094.62,0.0119604924714627
839,2096.84,0.0103194507846152
840,2099.06,0.0075568937656562
841,2101.28,0.0094225052791818
842,2103.5,0.0092795758033867
843,2105.71,0.0101597890347073
844,2107.93,0.0074791364975298
845,2110.15,0.0103822565706595
